"GEOID","mean_EV_range"
1000,244.435185185185
1001,244.261497263942
1003,239.013292949689
1005,246.162780064015
1007,248.075116478083
1009,244.82172489083
1011,245.690295045463
1013,248.571701315231
1015,239.106465127742
1017,243.9458005147
1019,248.158126036484
1021,244.179008044594
1023,252.094074773924
1025,251.117786187323
1027,250.534749508841
1029,250.799003510361
1031,242.631695131869
1033,243.483357372684
1035,250.162337662338
1037,250.665393093314
1039,246.879971129556
1041,250.518196909718
1043,244.246484662311
1045,243.420739270652
1047,244.871028651178
1049,243.134784553452
1051,241.870985784199
1053,246.093002591633
1055,238.849437627812
1057,248.834743238413
1059,246.697702539299
1061,247.238798283262
1063,246.838034010784
1065,249.477156728495
1067,248.140850931031
1069,239.432736636624
1071,244.207548256986
1073,232.541212941707
1075,249.790560066052
1077,241.141586261839
1079,248.245458606313
1081,239.47158629934
1083,241.913784764208
1085,247.863678373383
1087,242.007021517554
1089,233.902926628195
1091,249.561609840311
1093,247.573883453849
1095,241.088651884327
1097,236.623444518077
1099,250.144809037117
1101,234.174721633482
1103,239.473801147936
1105,248.888615384615
1107,250.299072908321
1109,247.751897205933
1111,247.561817235998
1113,240.041720990874
1115,241.497151180225
1117,237.245484872886
1119,247.384702093398
1121,241.43686406902
1123,245.661944793804
1125,238.719555614162
1127,242.735842985843
1129,252.482186660437
1131,249.363604852686
1133,247.735807113543
2000,246.103703703704
2013,262.244897959184
2016,251.109552077712
2020,228.238025817054
2050,257.878599911387
2060,243.805707346691
2068,237.531717380093
2070,256.690449438202
2090,236.747456395349
2100,243.976905311778
2105,236.173306772908
2110,233.126559872555
2122,235.491866769946
2130,235.822472910791
2150,241.786806247923
2158,258.427927927928
2164,251.232189973615
2170,233.318365695793
2180,256.507867607162
2185,258.57402422611
2188,259.701330108827
2195,249.913663034367
2198,251.046325322187
2220,236.27824315146
2230,228.819130434783
2240,242.74497716895
2261,243.252707581227
2275,252.224953902889
2282,241.079044117647
2290,252.356653992395
4000,245.270833333333
4001,247.792896254301
4003,236.133573562475
4005,236.631926281856
4007,241.903197647707
4009,245.950879522071
4011,251.87111977897
4012,238.818727573834
4013,230.80144178345
4015,234.635657610002
4017,240.710350526823
4019,231.900553481365
4021,236.168548950655
4023,238.342868708676
4025,233.97
4027,236.018579675124
5000,252.5
5001,252.576603034753
5003,254.28507982235
5005,242.1713232077
5007,237.759590721535
5009,245.618000421556
5011,248.394968119938
5013,257.955273496525
5015,246.061349218629
5017,251.63406881077
5019,248.25459737293
5021,251.798346659439
5023,248.323965123169
5025,253.69078253533
5027,249.354780389237
5029,248.844141186128
5031,240.861048042866
5033,246.658340971586
5035,241.425616140978
5037,250.236762097796
5039,251.113834551025
5041,251.52780586451
5043,251.680081768238
5045,241.579675908658
5047,252.507581803671
5049,249.706547777482
5051,239.385055963624
5053,251.397934029816
5055,247.30938669738
5057,247.887552883545
5059,249.168285062906
5061,252.821722198183
5063,247.687937453462
5065,251.37345513165
5067,250.323423672566
5069,241.249849234109
5071,249.267015218
5073,253.765437683782
5075,251.457715891671
5077,249.845409487845
5079,253.817415215399
5081,252.163924528302
5083,251.1676
5085,244.359440190124
5087,252.417419706042
5089,248.315602443087
5091,247.015650865312
5093,246.309585295458
5095,251.206404154046
5097,251.964614050304
5099,253.644550707312
5101,255.68340881021
5103,247.901315129003
5105,252.278205128205
5107,246.809425666392
5109,254.106647537064
5111,249.164332582509
5113,251.200356282092
5115,245.373992569306
5117,256.497654417514
5119,235.841088336504
5121,250.618512511585
5123,245.84661467164
5125,241.903211941232
5127,255.862671232877
5129,252.968114348543
5131,240.247496701079
5133,251.152086832924
5135,246.575781968721
5137,249.248300735192
5139,248.193365754518
5141,250.778281055373
5143,238.392969538626
5145,247.189749820014
5147,252.846535824072
5149,250.593107809042
6000,226.976024411508
6001,224.968725990871
6003,247.993723849372
6005,240.920288692863
6007,233.427370309128
6009,239.933309715703
6011,247.268251273345
6013,228.808196319018
6015,234.327425024306
6017,235.1328929691
6019,232.798028100438
6021,244.270746533707
6023,232.213869406302
6025,232.776306875917
6027,239.292976294996
6029,235.059882000796
6031,240.126530307555
6033,235.783088965709
6035,243.283733072279
6037,224.880839471295
6039,238.111935847306
6041,229.747240678711
6043,241.623213999037
6045,235.252947215634
6047,236.376233833702
6049,246.087525667351
6051,242.786554428044
6053,233.176504530689
6055,236.893119193828
6057,234.337469612859
6059,226.227915601178
6061,234.287860823075
6063,242.151872238158
6065,229.337419458332
6067,228.552254052186
6069,239.331606217617
6071,228.868226481847
6073,225.971806418515
6075,223.728513439386
6077,231.696532382385
6079,234.064774520587
6081,225.661636572615
6083,230.649680715198
6085,226.031088927069
6087,229.461786275537
6089,235.157036306121
6091,250.087352625938
6093,237.131194441606
6095,231.607822640359
6097,231.530761805323
6099,233.182517298054
6101,239.544205873066
6103,240.045523724261
6105,242.260248252842
6107,236.224763898788
6109,239.446448304823
6111,228.983006147827
6113,234.505304690925
6115,238.498495880019
8000,242.573333333333
8001,233.227424159285
8003,242.776543713063
8005,230.79717130953
8007,250.452579227388
8009,257.571038251366
8011,251.193944139911
8013,228.704829297917
8014,236.379668379509
8015,239.310922902296
8017,260.011220825853
8019,242.111268878275
8021,249.952332361516
8023,249.980277902286
8025,245.938030006523
8027,253.412453760789
8029,241.604780507184
8031,229.309666630312
8033,259.569808027923
8035,236.021081504702
8037,234.223664811908
8039,244.625817927705
8041,231.117622703355
8043,239.639245740751
8045,238.929870500857
8047,248.458221024259
8049,244.376346099822
8051,246.14587012987
8053,258.409330985916
8055,249.707787732598
8057,262.861395348837
8059,230.334780773174
8061,258.828680897646
8063,254.738279400158
8065,244.357313006193
8067,240.661746296683
8069,232.583050463906
8071,247.590081405313
8073,250.737670949026
8075,244.828732692477
8077,236.062442551627
